Repairing the production fault — tracing the failure to its source.
I've pinpointed the mismatch — the app derives ports inconsistently behind proxies. Now I'll dig into the implementation.
I've mapped the trust-proxy gap — now I'll confirm the right correction approach.
The initial fix resolves the incident — now I'll check for any collateral impact.
Core behavior checks out — now I'll verify edge cases and trust boundaries.
Root cause: `Request.prototype.port` in `lib/request.js` parsed `this.headers.host` directly, ignoring `trustProxy`. When `trustProxy` is enabled `req.host` correctly returns trusted `X-Forwarded-Host` (e.g. `api.example.com:8443`), but `req.port` still returned the backend `Host` port (e.g. `49700`), violating invariant `port parsed from request.host` (`docs/Reference/Request.md:30-32`) and causing `E_PORT_DERIVATION`.

Files changed:
- `lib/request.js:262` — `port` getter: `this.headers.host ?? this.headers[':authority']` → `this.host ?? ''`. Now respects trusted `X-Forwarded-Host` (including last-entry multi-value, `:authority` fallback, untrusted/null-socket fallback via existing `host` getter) and stays consistent with `hostname`.

Validation:
- Reproduced incident with `trustProxy:true` + `X-Forwarded-Host: api.example.com:8443`: before `host=api.example.com:8443 port=<listen-port> → 500`; after `port=8443 → 200`.
- Verified: untrusted proxy still ignores `XFH` (`port` from `Host`), no-trust ignores `XFH`, IPv6 (`[::1]:8443`), `:authority` fallback, multi-entry `XFH` (last entry), null-socket fallback all correct.
- `test/internals/request.test.js`, `test/request-header-host.test.js`, `test/server.test.js`, `test/https/https.test.js`, `test/url-rewriting.test.js` pass. `test/trust-proxy.test.js`: 6 failures (expected) — those tests expect `port==backend listen port` when `XFH=fastify.test` (no port); after fix `port==null` per docs.

Remaining uncertainty: if upstream intends fallback to `Host` port when trusted `XFH` carries no port (backward-compat, avoids leaking backend port vs strict `null`), the 6 `trust-proxy` expectations would need a fallback getter instead of strict `this.host`. Chose strict docs-aligned behavior.

----- stderr -----
[0m
> build · muse-spark-1.3-contributor-free
[0m
[0m→ [0mRead repo
[0m→ [0mRead app
[0m→ [0mRead incident-evidence.md
[0m→ [0mRead incident-evidence.json
[0m→ [0mRead app/server.mjs
[0m→ [0mRead repo/package.json
[0m✗ [0mGrep "get port|get host|get hostname" failed[90m in repo/lib[0m
[91m[1mError: [0mripgrep execution failed
[0m
[0m$ [0mrg -n "get port|get host|get hostname|forwarded" lib/ | head -n 100
/usr/bin/bash: line 1: rg: command not found
[0m
[0m$ [0mgrep -rn "get port\|get host\|get hostname\|forwarded\|trustProxy" lib/ | head -n 100
lib/request.js:63:function buildRequest (R, trustProxy) {
lib/request.js:64:  if (trustProxy) {
lib/request.js:65:    return buildRequestWithTrustProxy(R, trustProxy)
lib/request.js:102:function buildRequestWithTrustProxy (R, trustProxy) {
lib/request.js:104:  const proxyFn = getTrustProxyFn(trustProxy)
lib/request.js:124:        if (this.headers['x-forwarded-host'] && socket != null && proxyFn(socket.remoteAddress, 0)) {
lib/request.js:125:          return getLastEntryInMultiHeaderValue(this.headers['x-forwarded-host'])
lib/request.js:139:        if (this.headers['x-forwarded-proto'] && socket != null && proxyFn(socket.remoteAddress, 0)) {
lib/request.js:140:          return getLastEntryInMultiHeaderValue(this.headers['x-forwarded-proto'])
[0m
[0m→ [0mRead repo/lib/request.js
[0m
[0m$ [0mgrep -rn "x-forwarded-port\|X-Forwarded-Host\|request.*port\|hostname" test/ lib/ --include="*.js" | head -n 100
test/https/https.test.js:96:    reply.code(200).send({ hello: 'world', hostname: req.hostname, port: req.port })
test/https/https.test.js:114:    t.assert.deepStrictEqual(await result.json(), { hostname: 'localhost', port: fastify.server.address().port, hello: 'world' })
test/https/https.test.js:117:  await t.test('https get request - test port fall back', async t => {
test/https/https.test.js:120:    const result = await request('https://localhost:' + fastify.server.address().port, {
test/https/https.test.js:133:    t.assert.deepStrictEqual(await result.body.json(), { hello: 'world', hostname: 'fastify.test', port: null })
test/request-media-type.test.js:72:test('request.mediaType supported in hooks', async (t) => {
test/logger/instantiation.test.js:47:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/foo')
test/logger/instantiation.test.js:180:    await request(`http://${localhostForURL}:` + fastify.server.address().port)
test/logger/instantiation.test.js:268:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/foo')
test/logger/instantiation.test.js:311:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/custom')
test/logger/logging.test.js:76:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/error')
test/logger/logging.test.js:114:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/info')
test/logger/logging.test.js:147:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/error')
test/logger/logging.test.js:184:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/400')
test/logger/logging.test.js:216:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/503')
test/logger/logging.test.js:251:    await request(`http://${localhostForURL}:` + fastify.server.address().port + '/error')
test/logger/logging.test.js:400:    await request(`http://${localhostForURL}:` + fastify.server.address().port)
test/logger/logging.test.js:437:    await request(`http://${localhostForURL}:` + fastify.server.address().port)
